text,label
I feel exhausted all the time and nothing I do makes a difference.,1
"I can't focus on my assignments, everything feels pointless lately.",1
I slept poorly and still felt drained after waking up today.,1
I am overwhelmed by deadlines and can't seem to start anything.,1
I enjoy studying with friends and felt motivated this week.,0
I managed to finish projects and feel proud and energetic.,0
I had a busy but productive week and I'm optimistic.,0
My motivation dropped; I attend class but I feel numb.,1
I made many mistakes and now I feel like a failure.,1
I am doing small breaks and it helps me relax and study.,0
